Has_Financial_Questions,SME_Age,SME_Type,Industry_Sector,SME_Size_Category,Literacy_Accounting,Literacy_Budgeting,Literacy_Investment_Evaluation,Literacy_Credit_Knowledge,Risk_Awareness,Risk_Evaluation,Risk_Mitigation_Strategies,Risk_Taking_Willingness,Assessment_Data_Driven,Assessment_Expert_Consultation,Assessment_Scenario_Analysis,Assessment_Internal_Evaluation,Decision_Autonomy,Decision_Consultation,Decision_Financial_Advisor,Decision_Strategic_Alignment,Decision_Investment_Choices,Decision_Loan_Approval,Decision_Capital_Allocation,Decision_CashFlow_Management,Analysis_Accounting_Tools,Analysis_Financial_Ratios,Analysis_Forecasting,Analysis_Benchmarking,Liquidity_Stability,Uses_Digital_Finance,Annual_Revenue_Category,Financial_Distress
YES,3,3,1,1,3,3,3,5.0,2,3,2,3,2,2.0,2,2,3,3,5,4.0,3,5,5,5,3,3,3,5.0,4,0,Low,0.0
YES,2,2,2,3,2,2,3,5.0,2,3,3,2,4,3.0,2,1,3,4,4,5.0,2,1,3,3,2,2,3,5.0,5,0,Medium,0.0
YES,3,2,1,3,3,3,5,5.0,2,1,2,1,2,2.0,2,2,5,5,5,,3,3,3,3,3,3,5,5.0,3,0,Low,0.0
YES,1,2,2,2,4,4,5,5.0,2,1,2,1,3,3.0,3,3,4,5,5,3.0,4,4,5,5,4,4,5,5.0,5,0,Medium,0.0
YES,2,2,3,4,3,3,3,5.0,4,3,4,3,3,2.0,3,2,5,3,4,4.0,3,3,3,3,3,3,3,5.0,5,0,Medium,
YES,3,2,4,3,3,3,3,3.0,4,3,4,3,3,2.0,3,3,5,3,4,3.0,3,3,3,3,3,3,3,3.0,2,1,Low,0.0
YES,3,2,4,4,3,3,4,3.0,4,3,4,3,3,2.0,3,1,5,3,4,5.0,3,3,3,3,3,3,4,3.0,3,0,Medium,0.0
YES,2,2,3,4,3,3,3,3.0,4,3,4,3,3,2.0,3,3,5,3,4,3.0,3,3,3,3,3,3,3,3.0,3,1,High,0.0
YES,2,3,3,1,3,3,4,3.0,2,1,2,1,2,2.0,2,2,5,5,5,4.0,3,3,3,3,3,3,4,3.0,3,0,High,1.0
YES,3,4,5,1,3,3,5,3.0,2,1,2,1,2,2.0,2,2,5,5,5,4.0,3,3,3,3,3,3,5,3.0,5,1,Medium,0.0
YES,1,3,3,2,4,4,5,4.0,2,1,2,1,3,3.0,3,3,4,5,5,3.0,4,4,4,4,4,4,5,4.0,4,0,Medium,0.0
YES,2,2,4,2,3,3,5,3.0,2,1,2,1,2,2.0,2,2,5,5,5,4.0,3,3,3,3,3,3,5,3.0,3,0,High,1.0
YES,2,3,5,3,3,3,3,3.0,4,3,4,3,3,2.0,3,3,5,3,4,3.0,3,3,3,3,3,3,3,3.0,5,1,Medium,0.0
YES,3,2,3,3,3,3,3,,4,3,4,3,3,2.0,3,3,5,3,4,,3,3,3,3,3,3,3,,2,1,Low,1.0
YES,2,4,2,2,3,3,5,3.0,2,1,2,1,2,2.0,2,2,5,5,5,4.0,3,3,3,3,3,3,5,3.0,4,0,High,0.0
YES,2,2,1,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,4,4.0,2,1,Low,0.0
YES,1,2,2,2,4,4,4,4.0,2,0,2,1,3,3.0,3,3,4,5,5,3.0,4,4,4,4,4,4,4,4.0,4,0,Medium,0.0
YES,3,4,3,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,4,4.0,5,1,Low,0.0
YES,2,4,4,3,4,4,5,4.0,2,1,2,1,3,3.0,3,3,4,5,5,3.0,4,4,4,4,4,4,5,4.0,1,1,Low,0.0
YES,1,2,1,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,,4,4,4,4,4,4,4,4.0,4,1,Low,0.0
YES,3,2,2,2,4,4,5,4.0,2,1,2,1,3,3.0,3,3,4,5,5,3.0,4,4,4,4,4,4,5,4.0,2,1,Medium,1.0
YES,1,3,1,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,4,4.0,5,1,Low,0.0
YES,2,4,2,5,3,3,3,,4,3,4,3,3,2.0,3,3,5,3,4,3.0,3,3,3,3,3,3,3,3.0,4,1,Low,0.0
YES,3,3,3,1,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,4,4.0,1,1,Low,1.0
YES,1,2,4,2,4,4,3,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,3,4.0,1,0,Medium,
YES,2,2,4,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,5,5,4,4,4,4.0,3,0,High,1.0
YES,3,2,3,3,4,4,4,4.0,3,2,3,2,2,2.0,2,2,5,5,5,4.0,4,4,4,4,4,4,4,,3,1,Medium,0.0
YES,3,3,3,3,2,2,3,2.0,3,4,4,3,4,3.0,4,4,3,4,3,2.0,2,3,3,3,2,2,3,,2,1,Medium,0.0
