Has_Financial_Questions,SME_Age,SME_Type,Industry_Sector,SME_Size_Category,Literacy_Accounting,Literacy_Budgeting,Literacy_Investment_Evaluation,Literacy_Credit_Knowledge,Risk_Awareness,Risk_Evaluation,Risk_Mitigation_Strategies,Risk_Taking_Willingness,Assessment_Data_Driven,Assessment_Expert_Consultation,Assessment_Scenario_Analysis,Assessment_Internal_Evaluation,Decision_Autonomy,Decision_Consultation,Decision_Financial_Advisor,Decision_Strategic_Alignment,Decision_Investment_Choices,Decision_Loan_Approval,Decision_Capital_Allocation,Decision_CashFlow_Management,Analysis_Accounting_Tools,Analysis_Financial_Ratios,Analysis_Forecasting,Analysis_Benchmarking,Liquidity_Stability,Uses_Digital_Finance,Annual_Revenue_Category,Financial_Distress
YES,21.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,3.0,5.0,3.0,5.0,6.0,0.0,2.0,0
YES,29.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,0.0,3.0,2.0,8.0,3.0,5.0,3.0,0.0,2.0,0
YES,29.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,5.0,7.0,0.0,4.0,1
YES,6.0,2.0,2.0,2.0,4.0,4.0,5.0,6.0,9.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,7.0,5.0,5.0,4.0,0.0,2.0,1
YES,12.0,2.0,3.0,4.0,3.0,3.0,3.0,6.0,9.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,6.0,0.0,2.0,1
YES,7.0,2.0,4.0,3.0,3.0,3.0,3.0,9.0,9.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,9.0,1.0,1.0,1
YES,25.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,0.0,2.0,0
YES,22.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,8.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,1.0,4.0,1
YES,19.0,3.0,3.0,1.0,3.0,3.0,4.0,0.0,8.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,8.0,3.0,3.0,1.0,4.0,3.0,7.0,0.0,0.0,1
YES,2.0,4.0,5.0,1.0,3.0,3.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,5.0,3.0,4.0,1.0,0.0,0
YES,22.0,3.0,3.0,2.0,4.0,4.0,5.0,8.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,0.0,0.0,0
YES,25.0,2.0,4.0,2.0,3.0,3.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,7.0,0.0,4.0,1
YES,19.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,7.0,1.0,0.0,1
YES,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,7.0,3.0,3.0,9.0,3.0,3.0,2.0,1.0,1.0,0
YES,3.0,4.0,2.0,2.0,3.0,3.0,5.0,9.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,5.0,3.0,5.0,0.0,4.0,1
YES,23.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,0
YES,4.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,7.0,4.0,4.0,7.0,4.0,4.0,1.0,0.0,4.0,0
YES,28.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,1.0,2.0,1
YES,14.0,4.0,4.0,3.0,4.0,4.0,5.0,7.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,9.0,5.0,4.0,5.0,1.0,2.0,1
YES,6.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,0
YES,6.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,0
YES,9.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,1.0,4.0,4.0,0.0,1.0,1.0,0
YES,5.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,8.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,9.0,3.0,3.0,9.0,1.0,4.0,1
YES,7.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,9.0,4.0,4.0,9.0,4.0,4.0,5.0,1.0,4.0,1
YES,13.0,2.0,4.0,2.0,4.0,4.0,3.0,0.0,9.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,8.0,0.0,2.0,1
YES,1.0,2.0,4.0,3.0,4.0,4.0,4.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,8.0,5.0,4.0,6.0,4.0,4.0,0.0,0.0,4.0,0
YES,24.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,4.0,3.0,9.0,1.0,4.0,1
YES,2.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,9.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,9.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,0
YES,20.0,3.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,4.0,6.0,1.0,4.0,1
YES,10.0,2.0,3.0,4.0,2.0,2.0,4.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,9.0,3.0,2.0,9.0,4.0,2.0,3.0,0.0,3.0,0
YES,23.0,3.0,4.0,3.0,2.0,2.0,4.0,8.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,8.0,1.0,2.0,1
YES,28.0,3.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,0
YES,6.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,8.0,3.0,3.0,4.0,0.0,1.0,0
YES,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,9.0,5.0,3.0,8.0,5.0,3.0,2.0,0.0,0.0,0
YES,8.0,3.0,1.0,1.0,2.0,2.0,4.0,7.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,5.0,5.0,3.0,6.0,1.0,1.0,0
YES,14.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,9.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,0
YES,29.0,1.0,3.0,2.0,2.0,2.0,4.0,6.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,8.0,0.0,2.0,1
YES,16.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,9.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,7.0,3.0,4.0,4.0,4.0,4.0,6.0,0.0,2.0,1
YES,15.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,7.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,0
YES,13.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,8.0,4.0,2.0,3.0,0.0,0.0,0
YES,12.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,9.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,8.0,3.0,3.0,9.0,5.0,3.0,8.0,1.0,1.0,1
YES,7.0,2.0,4.0,2.0,2.0,2.0,3.0,8.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,0
YES,15.0,1.0,3.0,3.0,2.0,2.0,4.0,0.0,8.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,5.0,3.0,9.0,0.0,0.0,1
YES,6.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,0.0,4.0,3.0,9.0,4.0,3.0,8.0,1.0,1.0,1
YES,21.0,2.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,7.0,5.0,1.0,9.0,1.0,1.0,1
YES,21.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,9.0,4.0,3.0,6.0,3.0,3.0,4.0,1.0,2.0,1
YES,14.0,3.0,4.0,3.0,4.0,4.0,5.0,6.0,7.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,8.0,4.0,2.0,8.0,3.0,2.0,1.0,1.0,4.0,1
YES,27.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0
YES,15.0,4.0,3.0,1.0,3.0,3.0,5.0,9.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,6.0,0.0,1.0,0
YES,23.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,7.0,3.0,2.0,4.0,4.0,2.0,7.0,1.0,0.0,1
YES,11.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,0
YES,22.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,7.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,4.0,3.0,9.0,3.0,5.0,0.0,0.0,3.0,0
YES,4.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,9.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,3.0,1.0,4.0,1
